app,tf,b6564ef7e72bf868850ae934ba57c0badc4d140c3d142e6f26891fc5a922609a,e03a9bb9ad10c47bf968e2d2b1629e6609f5a24d42f0b57ac0b3d7795bdae758,2e04f8d1c23c13b5040fd9b4d6772527eb9cd717fc5ead55a2278fe674a41691,52dda3c63c80fab48fe6f7a1b0ffb56de2adb81ca111490640a918d55b0ef7a6,c1c0c3f5732eba7a6fa56c93fb32f9848499d576b9cb1e00ba5a48a266c9ac13,789232af4d3a30f23550ee906b9b3f7a7ebb0ff09b81b8a0644fa555213cdf48,d87f1b0e0edd8e597a18c20cc177a4a50792996c91aa79379cf1e4d67908a72c,bcca66320348892a7b367895bfeb3378eabc7ea5131d2d9901c8e14068589307,53449fac33f3654b9cc862cb3a694e37b47a863ff946791b1236939ffa098f33
89a8c758f45d86bf0aee1496fd48036fad55805927327d89af6ec1d7337a3938,T,1,1,1,1,0,0,0,0,0
5a12974cddc7006bbc65daed16cb05ea7cd8713ef69dcb4110149a823689d92e,T,1,1,0,1,1,1,1,1,1
9a0dfff4d05e739d53da02e9275b67dcff6ca1fdd82d65cb2c06b96b90fa3c06,T,1,1,0,1,0,0,0,0,0
f62815bf74f5782056c0f5e2e5c410cd272707cc86f76ee499774e7a634095d4,T,1,1,1,1,0,0,1,1,0
8963d85645646e0f4a0a3e6518cd136b78f0795499ae98c04546be7a6ecb259c,T,0,0,0,0,1,1,0,1,0
2c5e656af90044cf5cc694519a42477cb18bd4b2722b1474cdead4a8748d3f70,T,1,0,0,0,0,0,0,0,0
d18edaafa32b71bb2ca00463574e0464077313527a157b6f523214fe3ee5e9f1,F,1,0,1,1,0,0,0,0,0
d5245d70e837c02c598aafb138c85269b0e6a1477ace568f8c66f8959cd5da09,F,1,0,0,1,0,0,0,0,0
870e19e1bcf7a3f7b4352fb12acba071875cc3fba4ab56a3d14f7db99546f9ca,F,1,0,0,0,0,0,0,0,0
50a50ed2296a7842f6d0f7c30d4e68357581e86d5071f48872c813f882d45a13,F,1,0,1,1,0,0,0,0,0
bbf0705dc0d1cd91062679d9d38372b863429781776d0f3b0e08640fde82e349,F,0,0,0,1,0,0,0,0,0
5d336fb781e4ae17c2fd5a7c875ddefdd013ae1343ddced1e9e150d562cb7cf8,F,1,0,0,1,0,0,0,0,0
acee04667b5621acc9dacfa5d654959b243a152b687a48e3b0c92b09ac153a9f,F,1,0,1,1,0,0,0,0,0
